"SKMEL2_Untreated_1" "SKMEL2_Untreated_2" "SKMEL2_Untreated_3" "SKMEL2_Induced_18hours_1" "SKMEL2_Induced_18hours_2" "SKMEL2_Induced_18hours_3"
"ENSG00000034677" 1284 1306 1621 1694 1259 1224
"ENSG00000034693" 247 278 353 362 249 308
"ENSG00000034713" 1171 1344 1222 1568 1142 1169
"ENSG00000034971" 1 0 0 1 0 0
"ENSG00000035115" 346 357 361 437 335 279
"ENSG00000035141" 907 1044 1227 1130 1015 914
"ENSG00000035403" 2979 3538 4292 3827 3016 3117
"ENSG00000035499" 459 598 594 562 540 539
"ENSG00000035664" 22 8 13 12 11 10
"ENSG00000035681" 917 1127 1292 1186 933 1031
"ENSG00000035687" 2317 2637 2763 2832 2237 2283
"ENSG00000035862" 6649 7990 9088 8766 7012 7143
"ENSG00000035928" 1967 2363 2952 2512 1994 2141
"ENSG00000036054" 1160 1419 1529 1484 1229 1273
"ENSG00000036257" 2101 2570 3081 2695 2208 2315
"ENSG00000036448" 2 0 5 5 1 1
"ENSG00000036530" 0 2 8 5 2 2
"ENSG00000036549" 1903 2125 2343 2399 1877 1913
"ENSG00000036565" 3 5 11 5 3 6
"ENSG00000036672" 18 38 33 41 26 26
"ENSG00000037042" 122 150 172 171 140 144
"ENSG00000037241" 281 300 354 333 285 270
"ENSG00000037280" 0 2 2 2 1 2
"ENSG00000037474" 1450 1748 2121 2033 1630 1668
"ENSG00000037637" 506 617 678 722 600 640
"ENSG00000037749" 1284 1434 1440 1635 1271 1346
"ENSG00000037757" 149 220 289 252 206 196
"ENSG00000037897" 232 212 306 284 206 256
"ENSG00000037965" 40 35 52 36 21 25
"ENSG00000038002" 569 665 701 776 601 585
"ENSG00000038210" 498 546 535 578 466 484
"ENSG00000038219" 3311 3594 4646 4413 3361 3210
"ENSG00000038274" 2008 2325 2228 2683 2109 2190
"ENSG00000038358" 762 962 1179 1054 872 920
"ENSG00000038382" 1704 1947 2132 2379 1842 1950
"ENSG00000038427" 391 466 549 463 350 358
"ENSG00000038532" 659 745 951 927 697 733
"ENSG00000038945" 4 0 4 5 2 4
"ENSG00000039068" 63 84 95 116 73 73
"ENSG00000039123" 2725 3173 3456 3337 2734 2756
